id	N	mean	sd	se	sentence	task	reference
AC-01-R0044	10	5.3	1.33749351	0.422952585	Sono retrocesse le squadre.	acceptability	greco_etal_2020
AC-01-R0045	18	1.722222222	1.074055292	0.25315726	Quando gli idraulici avevano sostituito i tubi loro riparava il lavello.	acceptability	mancini_etal_2018
AC-01-R0046	17	2.823529412	2.157408576	0.523248437	Siete voi turisti che voi bagnini avete aiutato sulla spiaggia affollata.	acceptability	chesi_canal_2019
AC-01-R0047	12	1.666666667	1.23091491	0.355334527	Prima di chiudere la cucina del ristorante lui asciugavano tutti i piatti.	acceptability	mancini_etal_2018
AC-01-R0048	12	1.583333333	1.164500153	0.336162238	Quando il tempo non era bello tu annullavate tutte le immersioni.	acceptability	mancini_etal_2018
AC-01-R0049	17	5.941176471	1.197423705	0.290417907	Secondo te hanno russato gli ospiti?	acceptability	greco_etal_2020
AC-01-R0050	30	5.333333333	1.787568824	0.326363923	Sono gli attori che voi registi avete incoraggiato prima dello spettacolo.	acceptability	chesi_canal_2019
AC-01-R0051	17	5.294117647	1.961017143	0.475616518	Secondo te l'ispirazione del film sono i racconti dell'epidemia?	acceptability	greco_etal_2020
AC-01-R0052	12	5.5	1.834021909	0.529436522	Dicono che in passato lui rifiutava sempre il sostegno degli altri.	acceptability	mancini_etal_2018
AC-01-R0053	85	4.988235294	1.672566588	0.181415318	Quale turista si chiede chi ha costruito questo edificio negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0054	85	4.576470588	1.941872382	0.210625632	Quale fisico si chiede chi ha risolto questo problema in un'ora?	acceptability	villata_etal_2015
AC-01-R0055	10	6.1	1.100504935	0.348010217	Secondo te hanno miagolato i gatti?	acceptability	greco_etal_2020
AC-01-R0056	16	4.8125	1.470544117	0.367636029	Secondo te hanno pranzato le signore?	acceptability	greco_etal_2020
AC-01-R0057	30	4.7	1.841101619	0.336137629	Sono i giardinieri che i decoratori hanno supportato per la sistemazione del cortile.	acceptability	chesi_canal_2019
AC-01-R0058	14	2.214285714	1.4769288	0.394725825	Quando il bambino non arrivava loro informava i genitori.	acceptability	mancini_etal_2018
AC-01-R0059	17	6.411764706	1.277635684	0.309872169	Secondo te i petardi sono scoppiati?	acceptability	greco_etal_2020
AC-01-R0060	11	4.363636364	1.501514387	0.452723622	Secondo te hanno brucato le capre l'erba?	acceptability	greco_etal_2020
AC-01-R0061	14	1.857142857	1.292412345	0.345411728	Prima di chiudere la cucina del ristorante tu asciugavate tutti i piatti.	acceptability	mancini_etal_2018
AC-01-R0062	14	6.714285714	0.468807231	0.125294003	Appena la mamma usciva di casa loro accendevano il televisore in cucina.	acceptability	mancini_etal_2018
AC-01-R0063	16	5.8125	1.558578412	0.389644603	Le lenzuola hanno coperto il divano.	acceptability	greco_etal_2020
AC-01-R0064	85	4.505882353	2.021453564	0.219257424	Cosa credi che ha scritto in un pomeriggio?	acceptability	villata_etal_2015
AC-01-R0065	85	2.976470588	1.697171811	0.184084129	Quale piatto non sai quale cuoco ha preparato la scorsa settimana?	acceptability	villata_etal_2015
AC-01-R0066	28	6	1.333333333	0.251976315	Sono i tecnici che voi dirigenti avete respinto dopo l'accesa discussione.	acceptability	chesi_canal_2019
AC-01-R0067	11	6.727272727	0.467099366	0.140835758	I debiti sono lievitati.	acceptability	greco_etal_2020
AC-01-R0068	12	5.833333333	1.337115847	0.385992097	Prima di evadere un ordine tu contavi sempre i pezzi in ogni scatola.	acceptability	mancini_etal_2018
AC-01-R0069	10	6	1.333333333	0.421637021	Secondo te le lenzuola hanno coperto il divano?	acceptability	greco_etal_2020
AC-01-R0070	11	6.545454545	1.507556723	0.454545455	Secondo te i cavi hanno trasmesso il segnale?	acceptability	greco_etal_2020
AC-01-R0071	18	5.944444444	1.764760348	0.415958003	Secondo te i computer hanno svolto il calcolo?	acceptability	greco_etal_2020
AC-01-R0072	12	1.75	1.288057029	0.371830036	I gatti entravano sempre in casa mentre lui servivano la cena.	acceptability	mancini_etal_2018
AC-01-R0073	17	3.764705882	1.95350364	0.473794226	Hanno registrato le telecamere l'evento.	acceptability	greco_etal_2020
AC-01-R0074	10	6.8	0.632455532	0.2	Secondo te i nemici sono scappati?	acceptability	greco_etal_2020
AC-01-R0075	12	1.5	0.797724035	0.230283093	Quando le cose si mettevano male lui esprimevano la rabbia piangendo.	acceptability	mancini_etal_2018
AC-01-R0076	30	5.433333333	1.430778263	0.261223176	Sono gli autori che voi lettori avete ascoltato dopo la presentazione dei libri.	acceptability	chesi_canal_2019
AC-01-R0077	14	1.785714286	1.311403912	0.350487438	Si vociferava che voi affidavi molte responsabilità al nuovo arrivato.	acceptability	mancini_etal_2018
AC-01-R0078	18	1.5	0.857492926	0.202113021	Di solito nel secondo semestre io seguivamo il corso di storia.	acceptability	mancini_etal_2018
AC-01-R0079	16	4.5	1.825741858	0.456435465	La giustificazione della ritirata sono gli stravolgimenti della strategia.	acceptability	greco_etal_2020
AC-01-R0080	10	5.1	2.078995484	0.657436097	Secondo te le urbanizzazioni della capitale sono la sintesi della storia?	acceptability	greco_etal_2020
AC-01-R0081	11	3.909090909	1.513574937	0.456360014	La protezione della città sono i prosciugamenti del canale.	acceptability	greco_etal_2020
AC-01-R0082	16	6.0625	1.289379696	0.322344924	Secondo te le sorelle sono sopravvissute?	acceptability	greco_etal_2020
AC-01-R0083	16	4.9375	1.913765921	0.47844148	Secondo te le motivazioni dello scandalo sono la rovina del paese?	acceptability	greco_etal_2020
AC-01-R0084	12	1.5	0.904534034	0.261116484	Per contrastare la crescente criminalità lui difendevano la casa con un recinto.	acceptability	mancini_etal_2018
AC-01-R0085	18	1.722222222	0.95828005	0.225868774	Se il treno non arrivava loro saltava la prima parte dello spettacolo.	acceptability	mancini_etal_2018
AC-01-R0086	16	5.125	1.360147051	0.340036763	Secondo te hanno riposato i calciatori?	acceptability	greco_etal_2020
AC-01-R0087	10	5.9	0.994428926	0.314466038	Secondo te hanno stonato le cantanti?	acceptability	greco_etal_2020
AC-01-R0088	12	5.833333333	1.193416283	0.344509606	Le ragazze si arrabbiavano se io limitavo le loro uscite durante la settimana.	acceptability	mancini_etal_2018
AC-01-R0089	18	5.722222222	1.363626461	0.321409839	Tutte le sere voi preparavate la cartella per la mattina.	acceptability	mancini_etal_2018
AC-01-R0090	18	6.666666667	1.188177052	0.280056017	I negozianti hanno protestato.	acceptability	greco_etal_2020
AC-01-R0091	16	6.25	1.064581295	0.266145324	Secondo te gli agricoltori hanno coltivato il campo?	acceptability	greco_etal_2020
AC-01-R0092	17	4.352941176	2.262221709	0.548669356	Secondo te la protezione della città sono i prosciugamenti del canale?	acceptability	greco_etal_2020
AC-01-R0093	10	6.7	0.674948558	0.213437475	Secondo te le insegnanti hanno telefonato?	acceptability	greco_etal_2020
AC-01-R0094	16	6.5	0.894427191	0.223606798	Le insegnanti hanno telefonato.	acceptability	greco_etal_2020
AC-01-R0095	18	5.5	1.757337558	0.414208435	Secondo te le studentesse hanno copiato il quaderno?	acceptability	greco_etal_2020
AC-01-R0096	18	6.666666667	0.766964989	0.180775382	Tutti sanno che voi cantavate i salmi in chiesa.	acceptability	mancini_etal_2018
AC-01-R0097	17	5.176470588	1.845104811	0.447503649	Il connotato della dittatura sono le manipolazioni della votazione.	acceptability	greco_etal_2020
AC-01-R0098	10	4.1	1.595131482	0.504424865	Hanno barato i giocatori.	acceptability	greco_etal_2020
AC-01-R0099	10	7	0	0	Gli elicotteri sono atterrati.	acceptability	greco_etal_2020
AC-01-R0100	18	6.111111111	1.490711985	0.351364184	Secondo te i relitti sono sprofondati?	acceptability	greco_etal_2020
AC-01-R0101	15	5.133333333	1.726543478	0.445791609	Hanno sbadigliato gli spettatori.	acceptability	greco_etal_2020
AC-01-R0102	11	5.272727273	1.009049958	0.30424001	Hanno cinguettato gli uccelli.	acceptability	greco_etal_2020
AC-01-R0103	10	4.4	2.118699811	0.669991708	Secondo te la conferma dell'ipotesi sono le interpretazioni del risultato?	acceptability	greco_etal_2020
AC-01-R0104	14	1.928571429	1.491735474	0.398683075	Durante la partita della nazionale voi indossavi la maglia azzurra.	acceptability	mancini_etal_2018
AC-01-R0105	10	3.4	2.011080417	0.635959468	Hanno guidato le mamme la macchina.	acceptability	greco_etal_2020
AC-01-R0106	14	5.928571429	1.071611706	0.286400275	Poiché i pacchi erano voluminosi lui trasportava il carico con un furgone.	acceptability	mancini_etal_2018
AC-01-R0107	10	6.7	0.674948558	0.213437475	Secondo te sono scoppiati i petardi?	acceptability	greco_etal_2020
AC-01-R0108	10	4.8	2.299758441	0.727247474	Le pulizie del locale sono l'identità dell'auditorium.	acceptability	greco_etal_2020
AC-01-R0109	17	5.470588235	1.972233729	0.47833694	Le recinzioni della proprietà sono la protezione della fauna.	acceptability	greco_etal_2020
AC-01-R0110	10	6.7	0.674948558	0.213437475	Sono arrivati gli ospiti.	acceptability	greco_etal_2020
AC-01-R0111	10	5.6	1.577621275	0.498887652	Secondo te le dichiarazioni dell'accordo sono la conclusione dello sciopero?	acceptability	greco_etal_2020
AC-01-R0112	18	4.388888889	1.944491129	0.458320954	Hanno ruggito le leonesse.	acceptability	greco_etal_2020
AC-01-R0113	17	5.882352941	1.166316474	0.282873295	Sono gli architetti che gli ingegneri hanno consultato prima di iniziare i lavori.	acceptability	chesi_canal_2019
AC-01-R0114	10	2.8	1.549193338	0.489897949	Hanno indicato i cartelli la strada.	acceptability	greco_etal_2020
AC-01-R0115	85	4.670588235	1.860544181	0.20180435	Cosa credi che ha risolto in un'ora?	acceptability	villata_etal_2015
AC-01-R0116	14	1.928571429	1.439245834	0.384654629	Qualcuno ha detto che loro scriveva una lettera a casa ogni sera.	acceptability	mancini_etal_2018
AC-01-R0117	11	4.363636364	1.566698904	0.472377493	L'ispirazione del film sono i racconti dell'epidemia.	acceptability	greco_etal_2020
AC-01-R0118	10	6.9	0.316227766	0.1	I cuochi hanno letto la ricetta.	acceptability	greco_etal_2020
AC-01-R0119	12	5	2	0.577350269	Si vociferava che voi affidavate molte responsabilità al nuovo arrivato.	acceptability	mancini_etal_2018
AC-01-R0120	12	1.583333333	0.99620492	0.287579589	Quando gli idraulici avevano sostituito i tubi lui riparavano il lavello.	acceptability	mancini_etal_2018
AC-01-R0121	30	5.366666667	1.86590707	0.340666464	Sono i camerieri che i cassieri hanno rimproverato dopo la chiusura del ristorante.	acceptability	chesi_canal_2019
AC-01-R0122	12	1.75	0.965307299	0.278660215	Durante i periodi di stress loro ritrovava la tranquillità solo in montagna.	acceptability	mancini_etal_2018
AC-01-R0123	85	4.235294118	1.743334646	0.189091191	Quale fisico si chiede quale studente ha risolto questo problema in un'ora?	acceptability	villata_etal_2015
AC-01-R0124	14	4.928571429	1.730463954	0.462485945	Se il treno non arrivava io saltavo la prima parte dello spettacolo.	acceptability	mancini_etal_2018
AC-01-R0125	14	1.714285714	1.325987088	0.354384956	Se i medicinali davano effetti collaterali tu sospendevate subito il trattamento.	acceptability	mancini_etal_2018
AC-01-R0126	18	6.166666667	1.098126747	0.258830957	Secondo te hanno muggito le mucche?	acceptability	greco_etal_2020
AC-01-R0127	17	4	2	0.48507125	Hanno apprezzato gli adolescenti il videogioco.	acceptability	greco_etal_2020
AC-01-R0128	11	4.545454545	1.809068067	0.545454545	Secondo te la sintesi della storia sono le urbanizzazioni della capitale?	acceptability	greco_etal_2020
AC-01-R0129	85	4.517647059	2.033128979	0.2205238	Quale problema credi che lo studente ha risolto in un'ora?	acceptability	villata_etal_2015
AC-01-R0130	17	6.764705882	0.562295715	0.136376743	Secondo te i soldati hanno reagito?	acceptability	greco_etal_2020
AC-01-R0131	16	2.3125	1.138346754	0.284586689	Hanno trasportato gli aerei l'equipaggio.	acceptability	greco_etal_2020
AC-01-R0132	14	5.642857143	1.446860945	0.386689853	Ogni giorno insieme al falegname noi limavamo delle assi di legno.	acceptability	mancini_etal_2018
AC-01-R0133	85	4.423529412	1.954095032	0.211951365	Cosa credi che lo studente ha risolto in un'ora?	acceptability	villata_etal_2015
AC-01-R0134	14	5.428571429	1.342459609	0.358787422	In ufficio erano tutti scontenti perché loro approvavano il progetto del direttore.	acceptability	mancini_etal_2018
AC-01-R0135	10	6.9	0.316227766	0.1	Secondo te le capre hanno brucato l'erba?	acceptability	greco_etal_2020
AC-01-R0136	17	6.529411765	0.717430054	0.174002347	Secondo te sono atterrati gli elicotteri?	acceptability	greco_etal_2020
AC-01-R0137	10	7	0	0	Le piante sono appassite.	acceptability	greco_etal_2020
AC-01-R0138	12	5.333333333	1.497472618	0.43228311	Nel corso dell'anno voi prevedevate molte sconfitte per la Fiorentina.	acceptability	mancini_etal_2018
AC-01-R0139	30	4.966666667	1.77109616	0.32335644	Siete voi scrittori che gli editori hanno sollecitato alla fine della fiera.	acceptability	chesi_canal_2019
AC-01-R0140	17	5.647058824	1.656093916	0.401661773	Sono i geometri che voi costruttori avete accusato per il crollo del ponte.	acceptability	chesi_canal_2019
AC-01-R0141	18	6.166666667	1.42457424	0.335775368	Secondo te le cantanti hanno stonato?	acceptability	greco_etal_2020
AC-01-R0142	14	1.714285714	1.325987088	0.354384956	Prima che il presidente andasse in pensione tu ottenevate dei vantaggi.	acceptability	mancini_etal_2018
AC-01-R0143	12	1.833333333	1.267304465	0.365839287	Quando gli studenti erano troppo indisciplinati noi richiedevo la presenza del preside.	acceptability	mancini_etal_2018
AC-01-R0144	10	4.2	1.751190072	0.553774924	Siete voi giardinieri che i decoratori hanno supportato per la sistemazione del cortile.	acceptability	chesi_canal_2019
AC-01-R0145	10	6.1	0.994428926	0.314466038	Sono ingiallite le foglie.	acceptability	greco_etal_2020
AC-01-R0146	14	6.714285714	0.611249846	0.163363393	Anche se era successo molto tempo fa lui ricordava quel giorno con chiarezza.	acceptability	mancini_etal_2018
AC-01-R0147	10	4.8	2.250925735	0.711805217	Secondo te il fondamento dello stato sono le stesure della costituzione?	acceptability	greco_etal_2020
AC-01-R0148	10	4.3	1.82878223	0.578311719	Sono i giocatori che gli allenatori hanno incolpato per l'esito della partita.	acceptability	chesi_canal_2019
AC-01-R0149	18	6.222222222	1.165966176	0.274820863	Durante il concorso loro selezionavano sempre le ragazze più belle.	acceptability	mancini_etal_2018
AC-01-R0150	16	5.25	1.732050808	0.433012702	Secondo te i racconti dell'epidemia sono l'ispirazione del film?	acceptability	greco_etal_2020
AC-01-R0151	10	4.4	2.170509413	0.686375343	Secondo te le esecuzioni del concerto sono la rivelazione della manifestazione?	acceptability	greco_etal_2020
AC-01-R0152	12	1.416666667	0.668557923	0.192996049	Quando il bambino non arrivava voi informavi i genitori.	acceptability	mancini_etal_2018
AC-01-R0153	10	5.3	1.251665557	0.395811403	Sono gli affittuari che voi proprietari avete denunciato alla guardia di finanza.	acceptability	chesi_canal_2019
AC-01-R0154	16	4.5625	1.965324401	0.4913311	Secondo te i racconti del viaggio sono la conclusione della festa?	acceptability	greco_etal_2020
AC-01-R0155	17	4.647058824	1.966633433	0.476978669	Siete voi custodi che i postini hanno interpellato per aprire la cassetta.	acceptability	chesi_canal_2019
AC-01-R0156	17	5.882352941	1.409004655	0.341733825	Secondo te hanno pedalato i ciclisti?	acceptability	greco_etal_2020
AC-01-R0157	18	1.722222222	1.017815166	0.239901335	Durante i periodi di stress lui ritrovavano la tranquillità solo in montagna.	acceptability	mancini_etal_2018
AC-01-R0158	12	1.666666667	0.778498944	0.224733287	Prima di andare a lavorare voi lasciavi il bambino dalla nonna.	acceptability	mancini_etal_2018
AC-01-R0159	14	1.785714286	1.368804724	0.365828451	Quando il tempo non era bello lui annullavano tutte le immersioni.	acceptability	mancini_etal_2018
AC-01-R0160	17	6.117647059	1.576481563	0.382352941	Secondo te gli aerei hanno trasportato l'equipaggio?	acceptability	greco_etal_2020
AC-01-R0161	14	5.214285714	1.121713759	0.299790612	Alla cena di Natale loro annunciavano il matrimonio.	acceptability	mancini_etal_2018
AC-01-R0162	16	5.5	1.591644852	0.397911213	Secondo te il motivo dello stupore sono le decorazioni della villa?	acceptability	greco_etal_2020
AC-01-R0163	10	6.7	0.674948558	0.213437475	Secondo te i festeggiamenti sono degenerati?	acceptability	greco_etal_2020
AC-01-R0164	85	4.423529412	1.935732116	0.209959627	Cosa credi che ha costruito negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0165	17	5.294117647	1.649420576	0.40004325	La conclusione del restauro sono le tinteggiature della stanza.	acceptability	greco_etal_2020
AC-01-R0166	18	4.277777778	1.872574684	0.441370086	Secondo te hanno mangiato le bambine il dolce?	acceptability	greco_etal_2020
AC-01-R0167	18	6.222222222	1.165966176	0.274820863	Prima di evadere un ordine voi contavate sempre i pezzi in ogni scatola.	acceptability	mancini_etal_2018
AC-01-R0168	11	6.363636364	1.501514387	0.452723622	Secondo te gli ospiti sono arrivati?	acceptability	greco_etal_2020
AC-01-R0169	18	5.888888889	1.278274981	0.301292303	Le recite della preghiera sono la caratteristica del convento.	acceptability	greco_etal_2020
AC-01-R0170	14	1.785714286	1.368804724	0.365828451	Lucia diceva che loro ingannava il nostro datore di lavoro.	acceptability	mancini_etal_2018
AC-01-R0171	18	1.444444444	0.615698763	0.14512159	Quando ne avevamo bisogno loro organizzava sempre dei corsi per stranieri.	acceptability	mancini_etal_2018
AC-01-R0172	14	6.642857143	0.497245158	0.132894358	I gatti entravano sempre in casa mentre noi servivamo la cena.	acceptability	mancini_etal_2018
AC-01-R0173	17	3.411764706	1.905873275	0.462242166	Secondo te la caratteristica del convento sono le recite della preghiera?	acceptability	greco_etal_2020
AC-01-R0174	10	7	0	0	I tifosi hanno esultato.	acceptability	greco_etal_2020
AC-01-R0175	12	2	1.53741223	0.443812682	Il professore si arrabbiava quando loro modificava il piano di lavoro.	acceptability	mancini_etal_2018
AC-01-R0176	12	5.333333333	1.23091491	0.355334527	Lucia diceva che loro ingannavano il nostro datore di lavoro.	acceptability	mancini_etal_2018
AC-01-R0177	28	5.357142857	1.704336206	0.322089268	Sono gli affittuari che i proprietari hanno denunciato alla guardia di finanza.	acceptability	chesi_canal_2019
AC-01-R0178	17	5.470588235	1.806849712	0.438225424	Sono i giornalisti che voi consiglieri avete accolto all'entrata del palazzo.	acceptability	chesi_canal_2019
AC-01-R0179	17	6.647058824	0.70188821	0.170232896	Le squadre sono retrocesse.	acceptability	greco_etal_2020
AC-01-R0180	11	5.272727273	1.678744119	0.506160397	Secondo te i cartelli hanno indicato la strada?	acceptability	greco_etal_2020
AC-01-R0181	16	4	1.966384161	0.49159604	Secondo te la documentazione del crimine sono le trascrizioni dell'intercettazi	acceptability	greco_etal_2020
AC-01-R0182	30	2.9	1.936046451	0.353472105	Siete voi violinisti che voi pianisti avete accompagnato durante tutto il concerto.	acceptability	chesi_canal_2019
AC-01-R0183	17	2.588235294	1.73417212	0.420598519	Siete voi tecnici che voi dirigenti avete respinto dopo l'accesa discussione.	acceptability	chesi_canal_2019
AC-01-R0184	11	6	1.483239697	0.447213595	Secondo te le trascrizioni dell'intercettazione sono la documentazione del crim	acceptability	greco_etal_2020
AC-01-R0185	17	5.823529412	1.286239389	0.311958874	Sono gli scrittori che voi editori avete sollecitato alla fine della fiera.	acceptability	chesi_canal_2019
AC-01-R0186	12	6.416666667	0.668557923	0.192996049	Per concimare il terreno io utilizzavo un prodotto biologico.	acceptability	mancini_etal_2018
AC-01-R0187	17	6.823529412	0.392952624	0.09530501	Le casalinghe hanno pulito il bagno.	acceptability	greco_etal_2020
AC-01-R0188	11	6.363636364	1.501514387	0.452723622	Secondo te i ministri hanno parlato?	acceptability	greco_etal_2020
AC-01-R0189	10	6.8	0.421637021	0.133333333	Secondo te le fondamenta hanno sorretto il palazzo?	acceptability	greco_etal_2020
AC-01-R0190	18	5.388888889	1.883016631	0.443831276	Hanno telefonato le insegnanti.	acceptability	greco_etal_2020
AC-01-R0191	17	5.941176471	1.560071642	0.378372951	Secondo te i fidanzati hanno convissuto?	acceptability	greco_etal_2020
AC-01-R0192	14	6	1.037749043	0.277350098	Al ristorante di Giovanni normalmente noi ordinavamo del maiale.	acceptability	mancini_etal_2018
AC-01-R0193	28	2.285714286	1.511857892	0.285714286	Siete voi giornalisti che voi consiglieri avete accolto all'entrata del palazzo.	acceptability	chesi_canal_2019
AC-01-R0194	16	4.625	1.995828984	0.498957246	Secondo te hanno traslocato i vicini?	acceptability	greco_etal_2020
AC-01-R0195	18	1.944444444	1.513555309	0.356748408	Ogni volta che arrivava il direttore loro cambiava umore.	acceptability	mancini_etal_2018
AC-01-R0196	10	5.3	2.002775851	0.633333333	Il presupposto della sentenza sono le verifiche del danno.	acceptability	greco_etal_2020
AC-01-R0197	16	5.125	1.258305739	0.314576435	Secondo te hanno protestato i negozianti?	acceptability	greco_etal_2020
AC-01-R0198	15	6.333333333	1.112697281	0.287297202	Secondo te gli ospiti hanno russato?	acceptability	greco_etal_2020
AC-01-R0199	12	6.416666667	0.792961461	0.228908257	Prima di uscire di casa la sera io bevevo sempre una birra.	acceptability	mancini_etal_2018
AC-01-R0200	14	1.857142857	1.460091823	0.390225954	Prima che il comitato venisse eletto tu precisavate in modo chiaro il suo ruolo.	acceptability	mancini_etal_2018
AC-01-R0201	11	6.363636364	1.206045378	0.363636364	Le potature della vigna sono il simbolo della stagione.	acceptability	greco_etal_2020
AC-01-R0202	10	6.6	0.516397779	0.163299316	Secondo te sono nati i cuccioli?	acceptability	greco_etal_2020
AC-01-R0203	14	6.642857143	0.497245158	0.132894358	Ogni giorno insieme al falegname io limavo delle assi di legno.	acceptability	mancini_etal_2018
AC-01-R0204	16	6.125	1.408308678	0.35207717	Sono tornate le attrici.	acceptability	greco_etal_2020
AC-01-R0205	11	5.090909091	0.943879807	0.28459047	Hanno esultato i tifosi.	acceptability	greco_etal_2020
AC-01-R0206	10	2.1	1.286683938	0.406885187	Siete voi macchinisti che voi controllori avete salutato alla stazione di Milano.	acceptability	chesi_canal_2019
AC-01-R0207	14	1.714285714	1.204387583	0.321886121	Se i medicinali davano effetti collaterali voi sospendevi subito il trattamento.	acceptability	mancini_etal_2018
